cite.id,authors,year.published,source,citation
A,Chavez-Murillo,1999,Thesis,Chavez-Murillo 1999
B,"Álvarez-Romero, J. G., et al.",2005,Myiopsitta monachus. Animales exóticos en México: una amenaza para la biodiversidad,Álvarez-Romero et al. 2005
C,Pablo-López,2009,Huitzil,Pablo-López 2009
D,"Sanchez-Sanchez, C.A.",2010,Thesis,Sanchez-Sanchez 2010
E,MacGregor-Fors et al.,2011,Revista Mexicana de Biodiversidad,MacGregor-Fors et al. 2011
F,Pineda-López and Malagamba-Rubio,2011,Huitzil,Pineda-López and Malagamba-Rubio 2011
G,Vázquez et al.,2011,"Conference Proceedings, XI CECAM",Vázquez et al. 2011
H,"Guerrero-Cárdenas, et al.",2012,Huitzil,Guerrero-Cárdenas et al. 2012
I,Ramirez Albores,2012,Huitzil,Ramirez Albores 2012
J,Pineda-Lopez et al.,2013,Huitzil,Pineda-Lopez et al. 2013
K,"Jiménez Piedragil, C.",2013,"Conference Proceedings, XII CECAM",Jiménez Piedragil 2013
L,Soto-Cruz et al.,2014,Huitzil,Soto-Cruz et al. 2014
M,"Zuria, I. and Castellanos, I.",2014,"Conference Proceedings, XIIICECAM",Zuria and Castellanos 2014
N,Almazán-Núñez et al.,2015,Huitzil,Almazán-Núñez et al. 2015
O,Ramírez-Bastida et al.,2015,Acta Zoologica Mexicana,Ramírez-Bastida et al. 2015
P,Tinajero and Rodriguez-Estrella,2015,Acta Zoologica Mexicana,Tinajero and Rodriguez-Estrella 2015
Q,"Muñoz Jiménez, J. L. et al.",2015,"Conference Proceedings, 1st REFAMA",Muñoz Jiménez et al. 2015
R,"Vargas-Gómez, M. et al.",2015,"Conference Proceedings, 1st REFAMA",Vargas-Gómez et al. 2015
S,"Torres-Aguilar, V. et al.",2015,"Conference Proceedings, XIV CECAM",Torres-Aguilar et al. 2015
T,"Cumpián-Medellín, J. I., et al.",2015,"Conference Proceedings, XIV CECAM",Cumpián-Medellín et al. 2015
U,Salgado-Miranda et al.,2015,Huitzil,Salgado-Miranda et al. 2015
