source,year published,pub.type,year.sighted,city,state
Sanchez-Sanchez,2010,thesis,2007.5,Mexico City,Mexico City
Pablo-López,2009,Huitzil,2008,Oaxaca,Oaxaca
MacGregor-Fors et al.,2011,Revista Mexicana de Biodiversidad,2008,Puebla,Puebla
MacGregor-Fors et al.,2011,Revista Mexicana de Biodiversidad,2008,Oaxaca,Oaxaca
MacGregor-Fors et al.,2011,Revista Mexicana de Biodiversidad,2009,Loreto,Baja California Sur
MacGregor-Fors et al.,2011,Revista Mexicana de Biodiversidad,2009,Tuxtla Gutierrez,Chiapas
MacGregor-Fors et al.,2011,Revista Mexicana de Biodiversidad,2009,Morelia,Michoacan
Pineda-López and Malagamba-Rubio,2011,Huitzil,2009,Santiago de Queretaro,Queretaro
Ramirez Albores,2012,Huitzil,2009,Mexico City,Mexico City
MacGregor-Fors et al.,2011,Revista Mexicana de Biodiversidad,2010,Celaya,Guanajuato
Pineda-Lopez et al.,2013,Huitzil,2010,Guanajuato,Guanajuato
Pineda-López and Malagamba-Rubio,2011,Huitzil,2011,Santiago de Queretaro,Queretaro
Vázquez et al.,2011,"Conference Proceedings, XI CECAM",2011,Mexico City,Mexico City
Guerrero-Cárdenas et al.,2012,Huitzil,2011,Guerrero Negro,Baja California Sur
Pineda-Lopez et al.,2013,Huitzil,2011,Guanajuato,Guanajuato
Soto-Cruz et al.,2014,Huitzil,2011,Chihuahua,Chihuahua
Soto-Cruz et al.,2014,Huitzil,2011,Delicia,Chihuahua
Ramirez Albores,2012,Huitzil,2012,Mexico City,Mexico City
Pineda-Lopez et al.,2013,Huitzil,2012,Leon,Guanajuato
Tinajero and Rodriguez-Estrella,2015,Acta Zoologica Mexicana,2012,Chametla,Baja California Sur
Vargas-Gómez et al.,2015,"Conference Proceedings, 1st REFAMA",2012,Mexico City,Mexico City
Salgado-Miranda et al.,2015,Huitzil,2012,Toluca,Mexico
Salgado-Miranda et al.,2015,Huitzil,2012,Metepec,Mexico
Zuria and Castellanos,2014,"Conference Proceedings, XIIICECAM",2013,Celaya,Guanajuato
Ramírez-Bastida et al.,2015,Acta Zoologica Mexicana,2013,Alvarado,Veracruz
Tinajero and Rodriguez-Estrella,2015,Acta Zoologica Mexicana,2013,Chametla,Baja California Sur
Salgado-Miranda et al.,2015,Huitzil,2013,Toluca,Mexico
Almazán-Núñez et al.,2015,Huitzil,2014,Chilpancingo de los Bravo,Guerrero
Tinajero and Rodriguez-Estrella,2015,Acta Zoologica Mexicana,2014,Chametla,Baja California Sur
Salgado-Miranda et al.,2015,Huitzil,2014,Toluca,Mexico
Salgado-Miranda et al.,2015,Huitzil,2014,Metepec,Mexico
Muñoz Jiménez et al.,2015,"Conference Proceedings, 1st REFAMA",2015,Mexico City,Mexico City
