"date","latitude","longitude","userID","num.mymon.obsd","city","state","region"
1999-11-29,20.6461884,-105.2361211,"obsr381981",1,"Puerto Vallarta","Jalisco","South"
2005-12-11,19.2919773,-99.0963364,"obsr44243",1,"Mexico City","Mexico City","Central"
2006-07-08,19.29393,-99.09627,"Miguel �ngel Sicilia Manzo",NA,"Mexico City","Mexico City","Central"
2007-09-01,19.3098473,-99.0966797,"obsr276647",6,"Mexico City","Mexico City","Central"
2007-10-19,19.2919773,-99.0963364,"obsr131936",NA,"Mexico City","Mexico City","Central"
2008-03-06,19.0306215,-98.1851317,"obsr18468",NA,"Puebla","Puebla","Central"
2008-06-20,21.21871,-99.46461,"Juan Cruzado Cort�s",NA,"Jalpan de Serra","Queretaro","Central"
2008-10-11,19.29369,-99.09344,"Alfonso Guti�rrez Aldana",NA,"Mexico City","Mexico City","Central"
2008-11-01,19.2919773,-99.0963364,"obsr44243",6,"Mexico City","Mexico City","Central"
2008-11-23,19.2922689,-99.1204977,"obsr139960",4,"Mexico City","Mexico City","Central"
2009-01-24,19.2919773,-99.0963364,"obsr47784",7,"Mexico City","Mexico City","Central"
2009-01-31,26.0048014,-111.337595,"obsr44243",2,"Loreto","Baja California Sur","Baja"
2009-02-08,19.277889,-98.973944,"obsr134199",NA,"Mexico City","Mexico City","Central"
2009-02-17,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-02-23,16.7552354,-93.114624,"obsr163792",2,"Tuxtla Gutierrez","Chiapas","South"
2009-02-24,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-03-03,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-03-10,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-03-17,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-03-24,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-03-31,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-04-09,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-04-15,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-04-22,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
2009-05-09,19.2919773,-99.0963364,"obsr44243",8,"Mexico City","Mexico City","Central"
2009-05-09,19.2919773,-99.0963364,"obsr185834",8,"Mexico City","Mexico City","Central"
2009-05-14,19.3099283,-99.0966797,"obsr131936",NA,"Mexico City","Mexico City","Central"
