reg7.cat,state,names.w.accents
North,Aguascalientes,Aguascalientes
North Pacific,Baja California,Baja California Sur
North Pacific,Baja California Sur,Baja California
Yucatan,Campeche,Campeche
South,Chiapas,Chiapas
North,Chihuahua,Chihuahua
North,Coahuila,Coahuila
Central Pacific,Colima,Colima
North,Durango,Durango
Central Highlands,Guanajuato,Guanajuato
South,Guerrero,Guerrero
Central Highlands,Hidalgo,Hidalgo
Central Pacific,Jalisco,Jalisco
Central Highlands,Mexico,México
Central Highlands,Mexico City,Distrito Federal
Central Pacific,Michoacan,Michoacán
Central Highlands,Morelos,Morelos
Central Pacific,Nayarit,Nayarit
North,Nuevo Leon,Nuevo León
South,Oaxaca,Oaxaca
Central Highlands,Puebla,Puebla
Central Highlands,Queretaro,Querétaro
Yucatan,Quintana Roo,Quintana Roo
North,San Luis Potosi,San Luis Potosí
North Pacific,Sinaloa,Sinaloa
North Pacific,Sonora,Sonora
Gulf Coast,Tabasco,Tabasco
Gulf Coast,Tamaulipas,Tamaulipas
Central Highlands,Tlaxcala,Tlaxcala
Gulf Coast,Veracruz,Veracruz
Yucatan,Yucatan,Yucatán
North,Zacatecas,Zacatecas
